,Area,Item,Year,Value
209,Afghanistan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,79.1
216,Afghanistan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,75.7
223,Afghanistan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,82.6
1084,Albania,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,30.2
1091,Albania,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,27.2
1098,Albania,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,33.1
2033,Algeria,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,19.4
2040,Algeria,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,16.1
2047,Algeria,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,22.6
2867,American Samoa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
2874,American Samoa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
2881,American Samoa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
3265,Andorra,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
3272,Andorra,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
3279,Andorra,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
3921,Angola,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,78.5
3928,Angola,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,77
3935,Angola,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,79.9
4782,Antigua and Barbuda,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,33
4789,Antigua and Barbuda,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,29.4
4796,Antigua and Barbuda,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,36.5
5548,Argentina,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,36.9
5555,Argentina,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,33.2
5562,Argentina,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,40.5
6455,Armenia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.1
6462,Armenia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6
6469,Armenia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,8.3
7387,Australia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,11.4
7394,Australia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,9.6
7401,Australia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,13.2
8308,Austria,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,4.3
8315,Austria,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,3.3
8322,Austria,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,5.3
9156,Azerbaijan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,10.1
9163,Azerbaijan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,8.1
9170,Azerbaijan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,12
10065,Bahamas,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,17.2
10072,Bahamas,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,13.4
10079,Bahamas,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,21.1
10753,Bahrain,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
10760,Bahrain,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
10767,Bahrain,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
11586,Bangladesh,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,31.1
