,Agricultural Land( %),Co2-Emissions per ton,CPI,GDP,Population,Infant mortality,Minimum wage,Unemployment rate,Population: Labor force participation (%),temperature,ideal temperature?,Precipitation Depth (mm/year),Gini's index,GDP per capita,Human Development Index (2021),Prevalence of moderate or severe food insecurity in the total population (percent) (2022),Country
0,0.581,8672.0,149.9,19101353833.0,38041754.0,47.9,0.43,0.1112,0.489,26.245119870131376,0.0,327.0,41.57533387354393,502.11548691997746,0.478,82.6,Afghanistan
1,0.431,4536.0,119.05,15278077447.0,2854191.0,7.8,1.12,0.1233,0.557,15.97,0.0,1485.0,29.4,5352.857411084262,0.796,33.1,Albania
2,0.174,150006.0,151.36,169988236398.0,43053054.0,20.1,0.95,0.117,0.412,26.3,1.0,89.0,27.6,3948.3432789227913,0.745,22.6,Algeria
3,0.4,469.0,182.30528278497638,3154057987.0,77142.0,2.7,6.63,0.05887078092395573,0.6355245022613626,15.093226912836467,0.0,1165.9796977317544,32.93326955555698,40886.39116175365,0.858,12.594330111010017,Andorra
4,0.475,34693.0,261.73,94635415870.0,31825295.0,51.6,0.71,0.0689,0.775,26.69,1.0,1010.0,51.3,2973.591159799147,0.586,79.9,Angola
5,0.205,557.0,113.81,1727759259.0,97118.0,5.0,3.04,0.07084468506801046,0.6216461938382989,18.88452618661274,0.0,1030.0,37.24382489369694,17790.309304145474,0.788,36.5,Antigua and Barbuda
6,0.543,201348.0,232.75,449663446954.0,44938712.0,8.8,3.35,0.0979,0.613,16.75,0.0,591.0,42.0,10006.148973606541,0.842,40.5,Argentina
7,0.589,5156.0,129.18,13672802158.0,2957731.0,11.0,0.66,0.1699,0.556,7.56,0.0,562.0,27.9,4622.733493343377,0.759,8.3,Armenia
8,0.482,375908.0,119.8,1392680589329.0,25766605.0,3.1,13.59,0.0527,0.655,24.35,1.0,534.0,34.3,54049.8288124881,0.951,13.2,Australia
9,0.324,61448.0,118.06,446314739528.0,8877067.0,2.9,6.4144504870686925,0.0467,0.607,9.04,0.0,1110.0,29.8,50277.27508736838,0.916,5.3,Austria
10,0.577,37620.0,156.32,39207000000.0,10023318.0,19.2,0.47,0.0551,0.665,12.21,0.0,447.0,31.843394157606923,3911.5789801341234,0.745,12.0,Azerbaijan
11,0.014,1786.0,116.22,12827000000.0,389482.0,8.3,5.25,0.1036,0.746,16.82686656195441,0.0,1292.0,34.08001704026527,32933.48601475806,0.812,21.1,The Bahamas
12,0.111,31694.0,117.59,38574069149.0,1501635.0,6.1,3.7974524779471217,0.0071,0.734,28.91,1.0,83.0,35.413412391267094,25688.046129052665,0.875,24.747195649451434,Bahrain
13,0.706,84246.0,179.68,302571254131.0,167310838.0,25.1,0.51,0.0419,0.59,28.04,1.0,2666.0,31.8,1808.4378618138294,0.661,33.5,Bangladesh
14,0.233,1276.0,134.09,5209000000.0,287025.0,11.3,3.13,0.1033,0.652,19.933981219081993,0.0,1422.0,37.05894685528468,18148.24492640014,0.79,35.6,Barbados
15,0.42,58280.0,195.5846222521164,63080457023.0,9466856.0,2.6,1.49,0.0459,0.641,7.23,0.0,618.0,24.4,6663.295292861749,0.808,10.554233629825976,Belarus
16,0.446,96889.0,117.11,529606710418.0,11484055.0,2.9,10.31,0.0559,0.536,11.73,0.0,847.0,26.0,46116.699233676605,0.937,7.5,Belgium
17,0.07,568.0,105.68,1879613600.0,390353.0,11.2,1.65,0.0641,0.651,25.71,1.0,1705.0,41.42843325705323,4815.163710795101,0.683,49.4,Belize
18,0.333,6476.0,110.71,14390709095.0,11801151.0,60.5,0.39,0.0223,0.709,29.71,1.0,1039.0,37.9,1219.4326718639563,0.525,75.5,Benin
19,0.136,1261.0,167.18,2446674101.0,727145.0,24.8,0.32,0.0234,0.667,17.8,0.0,2200.0,28.5,3364.767826224481,0.666,37.63022501154442,Bhutan
20,0.348,21606.0,148.32,40895322865.0,11513100.0,21.8,1.36,0.035,0.718,25.11,1.0,1146.0,40.9,3552.068762105775,0.692,44.34930982750575,Bolivia
21,0.431,21848.0,104.9,20047848435.0,3301000.0,5.0,1.04,0.1842,0.464,13.77,0.0,1028.0,34.414472650171334,6073.265202968797,0.78,15.7,Bosnia and Herzegovina
22,0.456,6340.0,149.75,18340510789.0,2346179.0,30.0,0.29,0.1819,0.708,26.06,1.0,416.0,53.3,7817.1830832174355,0.693,60.0,Botswana
23,0.339,462299.0,167.4,1839758040766.0,212559417.0,12.8,1.53,0.1208,0.639,27.48,1.0,1761.0,52.9,8655.264804221777,0.754,37.1,Brazil
24,0.027,7664.0,99.03,13469422941.0,433285.0,9.8,3.8407523767274734,0.0912,0.647,26.51,1.0,2722.0,38.28687286249283,31086.751078389512,0.829,28.747109280999403,Brunei
25,0.463,41708.0,114.42,86000000000.0,6975761.0,5.9,1.57,0.0434,0.554,12.78,0.0,608.0,40.5,12328.404026456756,0.795,19.0,Bulgaria
26,0.442,3418.0,106.58,15745810235.0,20321378.0,49.0,0.34,0.0626,0.664,30.98,0.0,748.0,43.0,774.8396902513206,0.449,59.8,Burkina Faso
27,0.792,495.0,182.11,3012334882.0,11530580.0,41.0,0.7229273357936171,0.0143,0.792,25.13,1.0,1274.0,38.6,261.24747254691437,0.426,60.133529655634725,Burundi
28,0.648,9674.0,111.61,58792205642.0,25716544.0,59.4,0.36,0.0332,0.57,28.63,1.0,1348.0,37.2,2286.16277684902,0.55,74.71101174491304,Ivory Coast
29,0.196,543.0,110.5,1981845741.0,483628.0,16.7,0.68,0.1225,0.605,19.282146318645424,0.0,228.0,42.4,4097.872209632196,0.662,41.2,Cape Verde
30,0.309,9919.0,127.63,27089389787.0,16486542.0,24.0,0.7770845318530151,0.0068,0.823,27.21,1.0,1904.0,41.72781808843093,1643.121388766668,0.593,54.2,Cambodia
31,0.206,8291.0,118.65,38760467033.0,25876380.0,50.6,0.35,0.0338,0.761,26.45,1.0,1604.0,46.6,1497.90917558793,0.576,63.4,Cameroon
32,0.069,544894.0,116.76,1736425629520.0,36991981.0,4.3,9.51,0.0556,0.651,-3.57,0.0,537.0,31.7,46940.59584210967,0.936,7.9,Canada
33,0.082,297.0,186.86,2220307369.0,4745185.0,84.5,0.37,0.0368,0.72,29.566089428207704,0.0,1343.0,43.0,467.90744070041524,0.404,84.6,Central African Republic
34,0.397,1016.0,117.7,11314951343.0,15946876.0,71.4,0.6,0.0189,0.707,31.31,0.0,322.0,37.5,709.5403101522832,0.394,86.91041105038056,Chad
35,0.212,85822.0,131.91,282318159745.0,18952038.0,6.2,2.0,0.0709,0.626,11.11,0.0,1522.0,44.9,14896.453866597354,0.855,19.9,Chile
36,0.562,9893038.0,125.08,19910000000000.0,1425671352.0,7.4,0.87,0.0432,0.68,-13.361899527340944,0.0,645.0,37.1,13965.350409874827,0.768,-119.39562641328536,China
37,0.403,97814.0,140.95,323802808108.0,50339443.0,12.2,1.23,0.0971,0.688,26.41,1.0,3240.0,51.5,6432.387583390623,0.752,40.24338443309392,Colombia
38,0.715,202.0,103.62,1185728677.0,850886.0,51.3,0.71,0.0434,0.433,26.976110947338107,0.0,900.0,45.3,1393.522371974624,0.558,84.7,Comoros
39,0.311,3282.0,124.74,10820591131.0,5380508.0,36.2,0.88,0.0947,0.694,27.07,1.0,1646.0,48.9,2011.0723989259006,0.479,90.3,Republic of the Congo
40,0.345,8023.0,128.85,61773944174.0,5047561.0,7.6,1.84,0.1185,0.621,26.48,1.0,2926.0,47.2,12238.374964463035,0.809,16.9,Costa Rica
41,0.276,17488.0,109.82,60415553039.0,4067500.0,4.0,2.92,0.0693,0.512,13.45,0.0,1113.0,29.5,14853.239837492318,0.858,11.5,Croatia
42,0.599,28284.0,193.99594668336667,100023000000.0,11333483.0,3.7,0.05,0.0164,0.536,26.42,1.0,1335.0,37.91094127215418,8825.442275777004,0.764,26.27223183824602,Cuba
43,0.122,6626.0,102.51,24564647935.0,1198575.0,1.9,3.1707099043399882,0.0727,0.631,20.74,1.0,498.0,31.7,20494.87761299877,0.896,17.33092143631471,Cyprus
44,0.452,102218.0,116.48,246489245495.0,10669709.0,2.7,3.0,0.0193,0.606,10.04,0.0,677.0,26.2,23101.777704996453,0.889,10.0,Czech Republic
45,0.116,2021.0,133.85,47319624204.0,86790567.0,68.2,0.18,0.0424,0.635,30.5019880398498,0.0,1543.0,42.1,545.2162123102618,0.479,78.7,Democratic Republic of the Congo
46,0.62,31786.0,110.35,348078018464.0,5818553.0,3.6,7.549449843867339,0.0491,0.622,9.57,0.0,703.0,27.5,59822.092960913134,0.948,8.6,Denmark
47,0.734,620.0,120.25,3318716359.0,973560.0,49.8,1.3257056309384292,0.103,0.602,22.077071488821467,0.0,220.0,41.6,3408.8462539545585,0.509,55.2,Djibouti
48,0.333,180.0,103.87,596033333.0,71808.0,32.9,1.48,0.060285535949300015,0.6584102827373919,24.416703893989784,0.0,2083.0,39.08816499141349,8300.375069630125,0.72,50.423579362701226,Dominica
49,0.487,25258.0,135.5,88941298258.0,10738958.0,24.1,0.4,0.0584,0.643,24.77,1.0,1410.0,38.5,8282.11622189043,0.767,55.7,Dominican Republic
50,0.222,41155.0,124.14,107435665000.0,17373662.0,12.2,2.46,0.0397,0.68,24.81,1.0,2274.0,45.5,6183.823824821733,0.74,40.6,Ecuador
51,0.038,238560.0,288.57,303175127598.0,100388073.0,18.1,1.1735323878174015,0.1076,0.464,26.31,1.0,18.1,36.96748506567931,3020.0313497202005,0.731,31.1,Egypt
52,0.764,7169.0,111.23,27022640000.0,6453553.0,11.8,0.5,0.0411,0.591,28.2,1.0,1784.0,38.8,4187.250031106896,0.675,52.0,El Salvador
53,0.101,5655.0,124.35,11026774945.0,1355986.0,62.6,1.05,0.0643,0.62,27.66,1.0,2156.0,42.42810865862352,8131.92388785725,0.596,81.5485867325068,Equatorial Guinea
54,0.752,711.0,197.69518242806072,2065001626.0,6333135.0,31.3,0.9135972676584188,0.0514,0.784,21.38767033410292,0.0,384.0,37.3505857323633,326.0630992391604,0.492,48.68987940078021,Eritrea
55,0.231,16590.0,122.14,31386949981.0,1331824.0,2.1,3.14,0.0511,0.636,5.33,0.0,626.0,30.7,23566.890205462583,0.89,11.7,Estonia
56,0.457219375177758,-31998.87530471805,195.99075175902487,3791304348.0,1093238.0,39.543903420063096,1.1998783525447527,0.10894345590560972,0.6442241674339279,25.904699706619382,0.0,788.0,54.6,3467.9588049445774,0.597,71.9,Eswatini
57,0.363,14870.0,143.86,96107662398.0,112078730.0,39.1,1.0235483207280718,0.0208,0.796,25.42,1.0,848.0,35.0,857.5013510413618,0.498,62.4,Ethiopia
58,0.233,2046.0,132.3,5535548972.0,889953.0,21.6,1.28,0.041,0.576,26.42,1.0,2592.0,30.7,6220.046420428944,0.73,28.9,Fiji
59,0.075,45871.0,112.33,268761201365.0,5520314.0,1.4,6.312076799483045,0.0659,0.591,-0.29,0.0,536.0,27.1,48685.853986747854,0.94,14.5,Finland
60,0.524,303276.0,110.05,2715518274227.0,67059887.0,3.4,11.16,0.0843,0.551,12.81,0.0,867.0,30.7,40493.9285720389,0.903,7.7,France
61,0.2,5321.0,122.19,16657960228.0,2172579.0,32.7,1.46,0.2,0.529,26.58,1.0,1831.0,38.0,7667.366861228061,0.706,52.495509160542056,Gabon
62,0.598,532.0,172.73,1763819048.0,2347706.0,39.0,0.13,0.0906,0.594,30.92,0.0,836.0,38.8,751.2946885172164,0.5,63.6,The Gambia
63,0.345,10128.0,133.61,17743195770.0,3720382.0,8.7,0.05,0.144,0.683,8.34,0.0,1026.0,34.2,4769.18654320981,0.802,39.5,Georgia
64,0.477,727973.0,112.85,3845630030824.0,83132799.0,3.1,9.99,0.0304,0.608,9.88,0.0,700.0,31.7,46258.8782897109,0.942,5.3,Germany
